Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Author,SCEM,HelpURL,Status,ComponentLink1Description,SMD,ComponentLink2Description,Footprint Ref,Footprint Path,ComponentLink1URL,Manufacturer Part Number,Component Type,Mounted,ComponentHeight,Case,Socket,License,Part Description,Sense Comment,CreateDate,Manufacturer1 Part Number,Library Path,Pole4,Component Kind,Pin Count,Comment,Part Number,Library Name,Manufacturer1 ComponentHeight,Family,Status Comment,Library Ref,Manufacturer1 Example,ComponentLink2URL,LatestRevisionDate,Sense,Manufacturer,PackageDescription,PN,Val,Tolerance,PressFit,TC,Voltage,~,Device,Power,Bonding,Resistance,Color,Mouser Price/Stock,Mouser Part Number,Manufacturer_Name,Allied_Number,Height,RS Price/Stock,RS Part Number,Allied Price/Stock,Manufacturer_Part_Number,Field1
55,,LED_KINGBRIGHT_KPH-1608CGCK,LD1 LD2 LD3 LD4 LD5 LD6 LD7 LD8 LD9 LD10 LD15,LED_KINGBRIGHT_KPH-1608CGCK,LED_KINGBRIGHT_KPH-1608CGCK,11,\\cern.ch\dfs\Applications\Altium\Datasheets\LED_KINGBRIGHT_KPH-1608CGCK.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\LED_KINGBRIGHT_KPH-1608CGCK.pdf,~~,~~,Yes,~~,LED_KINGBRIGHT_KPH-1608CGCK,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,KPH-1608CGCK,Standard,Yes,0.65mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","SMD Green LED, Case 1.6mmX0.8mm(0603), 0.65mm Thickness",~~,07/03/17 00:00:00,,SchLib\LEDs & Displays.SchLib,Green,Standard,2,~~,LED_KINGBRIGHT_KPH-1608CGCK,ICs And Semiconductors SMD,,,~~,LED Green 1C 2A,,~~,07/03/17 00:00:00,No,KINGBRIGHT,"SMT Green LED, Case 0603, Body L 1.6 x W 0.8mm H 0.65mm",,,,No,,,,~~,,No,,Green,,,,,,,,,,
56,,Fan_3pin-Motor,M1 M2,Fan_3pin,Fan_Pin_Header_Straight_1x03,2,http://www.hardwarecanucks.com/forum/attachments/new-builds/16287d1330775095-help-chassis-power-fan-connectors-motherboard-asus_p8z68.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Oscillator-powerMG,OSC1,25MHz,OSC_MICREL_2520,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECS-2520MV-250-BN-TR,,,,,,,,,,,,,,,,,,,,,
58,,CMP-0001-00058-2-AMC,P3,CMP-0001-00058-2,AMC-GF-2D-750-O274,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,SAMTEC_ASP-134603-01,P1 P2,SAMTEC_ASP-134603-01,SAMTEC_ASP-134603-01,2,\\cern.ch\dfs\Applications\Altium\Datasheets\SAMTEC_ASP-134603-01.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\SAMTEC_ASP-134603-01.pdf,None,~~,Yes,~~,SAMTEC_ASP-134603-01,PcbLib\SAMTEC SMD.PcbLib,~~,ASP-134603-01,Standard,Yes,6.55mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.","160 contacts (4 rows cdgh) Surface Mount Female Connector, VITA 57 (CC-LPC-10)",~~,07/13/10 00:00:00,,SchLib\Connectors.SchLib,VITA 57,Standard,160,~~,SAMTEC_ASP-134603-01,SAMTEC SMD,,VITA 57,~~,Connector VITA 57 160 Female (cdgh),,~~,07/13/10 00:00:00,No,SAMTEC,~~,,,,No,,,,~~,,,,,,,,,,,,,,
60,,PB_TYCO_FSM2JSMA-Switches,PB1,PB_TYCO_FSM2JSMA,PB_TYCO_FSM2JSMA,1,\\cern.ch\dfs\Applications\Altium\Datasheets\PB_TYCO_FSM2JSMA.pdf,CERN DEM JLC,~~,\\cern.ch\dfs\Applications\Altium\Datasheets\PB_TYCO_FSM2JSMA.pdf,None,~~,Yes,~~,PB_TYCO_FSM2JSMA,PcbLib\Switches.PcbLib,~~,FSM2JSMA or  2-1437565-7,Standard,Yes,4.59mm,~~,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",12VDC 50mA SPST Tactile  Push-Button Switch,~~,09/08/08 00:00:00,~~,SchLib\Switches.SchLib,Push Button,Standard,4,~~,PB_TYCO_FSM2JSMA,Switches,~~,Push Button,~~,PB SPST 12NO-34NO,~~,~~,06/21/12 00:00:00,No,TYCO ELECTRONICS,"Body 6mm x 6mm, Surface Mount Tactile Switches, TYCO ALCOSWITCH FSMJSMA Series",,,,No,,,,,,,,,,,,,,,,,,
61,,BC847BV,Q26 Q27,BC847BV,SOTFL50P160X60-6N,2,\\cern.ch\dfs\Applications\Altium\Datasheets\BC847BV.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\BC847BV.pdf,~~,~~,Yes,~~,SOTFL50P160X60-6N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,BC847BV,Standard,Yes,0.6mm,SOT666,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",45V 100mA NPN General Purpose Double Transistor,~~,12/01/11 00:00:00,,SchLib\Transistors.SchLib,,Standard,6,=Device,BC847BV,ICs And Semiconductors SMD,,,~~,BC847BV,,~~,12/01/11 00:00:00,No,NXP SEMICONDUCTORS,"SOTFL (SOT666), 0.50mm, Pitch; 6 Pin, 1.20mm W X 1.60mm L X 0.60mm H Body, IPC Medium Density",,,,No,,,,BC847BV,,No,,,,,,,,,,,,
62,,BC857BV,Q1 Q15 Q22,BC857BV,SOTFL50P160X60-6N,3,\\cern.ch\dfs\Applications\Altium\Datasheets\BC857BV.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\BC857BV.pdf,~~,~~,Yes,~~,SOTFL50P160X60-6N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,BC857BV,Standard,Yes,0.6mm,SOT666,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",-45V -100mA PNP General Purpose Double Transistor,~~,12/01/11 00:00:00,,SchLib\Transistors.SchLib,,Standard,6,=Device,BC857BV,ICs And Semiconductors SMD,,,~~,BC857BV,,~~,12/01/11 00:00:00,No,NXP SEMICONDUCTORS,"SOTFL (SOT666), 0.50mm, Pitch; 6 Pin, 1.20mm W X 1.60mm L X 0.60mm H Body, IPC Medium Density",,,,No,,,,BC857BV,,No,,,,,,,,,,,,
63,,BSS138LT1G,Q8 Q9,BSS138LT1G,SOT95P240X110-3N,2,\\cern.ch\dfs\Applications\Altium\Datasheets\BSS138LT1G.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\BSS138LT1G.pdf,~~,~~,Yes,~~,SOT95P240X110-3N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,BSS138LT1G,Standard,Yes,1.11mm,SOT23-3,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",50V 200mA N-Channel Enhancement Mode Field-Effect Transistor,~~,03/23/09 00:00:00,,SchLib\Transistors.SchLib,,Standard,3,=Device,BSS138LT1G,ICs And Semiconductors SMD,,,~~,N-MOSFET-D 1G 2S 3D,,~~,03/23/09 00:00:00,No,ON SEMICONDUCTOR,"SOT23 3-Leads, Pitch 0.95mm - Body 1.4x3mm, IPC Medium Density",,,,No,,,,BSS138LT1G,,No,,,,,,,,,,,,
64,,BSS139,Q5 Q6 Q14 Q17 Q18 Q19 Q20 Q21 Q24,BSS139,SOT95P240X110-3N,9,\\cern.ch\dfs\Applications\Altium\Datasheets\BSS139.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\BSS139.pdf,~~,~~,Yes,~~,SOT95P240X110-3N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,BSS139,Standard,Yes,1.1mm,SOT23-3,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",250V 30mA N-Channel  SIPMOS® Small-Signal-Transistor,~~,09/23/14 00:00:00,,SchLib\Transistors.SchLib,,Standard,3,=Device,BSS139,ICs And Semiconductors SMD,,,~~,N-MOSFET-D 1G 2S 3D,,~~,09/23/14 00:00:00,No,INFINEON,"SOT23 3-Leads, Pitch 0.95mm - Body 1.4x3mm, IPC Medium Density",,,,No,,,,BSS139,,No,,,,,,,,,,,,
65,,FDMS7608S,Q10 Q11 Q12 Q13,FDMS7608S,FAIRCHILD_MLP08P,4,\\cern.ch\dfs\Applications\Altium\Datasheets\FDMS7608S.pdf,CERN DEM MR,,\\cern.ch\dfs\Applications\Altium\Datasheets\FDMS7608S.pdf,~~,~~,Yes,~~,FAIRCHILD_MLP08P,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,FDMS7608S,Standard,Yes,0.8mm,DFN8,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",30V Dual N-Channel PowerTrench® MOSFET,~~,05/25/16 00:00:00,,SchLib\Transistors.SchLib,,Standard,10,=Device,FDMS7608S,ICs And Semiconductors SMD,,,~~,FDMS7608S,,~~,04/10/17 00:00:00,No,FAIRCHILD SEMICONDUCTOR,"SON, 1.27mm Pitch; 8 Pin, 6.00mm W X 5.00mm L X 0.8mm H body, 2x Thermal Pad, IPC Medium Density",,,,No,,,,FDMS7608S,,No,,,,,,,,,,,,
66,,SI4425DDY-T1-GE3,Q2 Q3 Q4 Q16 Q23,SI4425DDY-T1-GE3,SOIC127P600X175-8N,5,\\cern.ch\dfs\Applications\Altium\Datasheets\SI4425DDY-T1-GE3.pdf,CERN DEM MR,,\\cern.ch\dfs\Applications\Altium\Datasheets\SI4425DDY-T1-GE3.pdf,~~,~~,Yes,~~,SOIC127P600X175-8N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,SI4425DDY-T1-GE3,Standard,Yes,1.75mm,SOIC8,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",-30V -19.7A P-Channel MOSFET,~~,10/05/16 00:00:00,,SchLib\Transistors.SchLib,,Standard,8,=Device,SI4425DDY-T1-GE3,ICs And Semiconductors SMD,,,~~,SI4425DDY,,~~,10/05/16 00:00:00,No,VISHAY SILICONIX,"SOIC 8, Pitch 1.27mm - Body 4x5mm, IPC Medium Density",,,,No,,,,SI4425DDY-T1-GE3,,No,,,,,,,,,,,,
67,,STS2DNE60-Transistor_FET,Q7,STS8DN6LF6AG,SOIC127P600X175-8N,1,www.st.com/resource/en/datasheet/CD00001537.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STS8DN6LF6AG,,,,,,,,,,,,,,,,,,,,,
68,,Si2315BDS-T1-E3,Q25,Si2315BDS-T1-E3,SOT95P237X112-3N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\Si2315BDS-T1-E3.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\Si2315BDS-T1-E3.pdf,~~,~~,Yes,~~,SOT95P237X112-3N,PcbLib\ICs And Semiconductors SMD.PcbLib,~~,Si2315BDS-T1-E3,Standard,Yes,1.12mm,SOT23-3,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",-12V -3A P-Channel STripFET® II Power MOSFET,~~,05/02/11 00:00:00,,SchLib\Transistors.SchLib,,Standard,3,=Device,Si2315BDS-T1-E3,ICs And Semiconductors SMD,,,~~,P-MOSFET-D 1G 2S 3D,,~~,05/02/11 00:00:00,No,VISHAY SILICONIX,"SOT, 0.95mm, pitch; 3 pin,1.30mm W X 2.92mm L X 1.12mm H body, IPC Medium Density",,,,No,,,,Si2315BDS-T1-E3,,No,,,,,,,,,,,,
69,,R-Device,R209 R210,0,RESC1005X40N,2,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNP,,,,,,,,,,,,,,,,,,,,,
70,,R-Device,R95 R96 R97 R98 R99 R101 R102,DNP,RESC1005X40N,7,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0402_0R_JUMPER,,,,,,,,,,,,,,,,,,,,,
71,,R0201_100R_1%_0.05W_200PPM,R59 R60 R61 R169,R0201_100R_1%_0.05W_200PPM,RESC0603X28N,4,\\cern.ch\dfs\Applications\Altium\Datasheets\R0201_VISHAY_CRCW e3.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0201_VISHAY_CRCW e3.pdf,Not Recommended,,Yes,,RESC0603X28N,PcbLib\Resistors SMD.PcbLib,,R0201_200R_1%_0.05W_200PPM,Standard,Yes,~~,0201,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",Thick Film Chip Resistor,~~,11/13/14 00:00:00,CRCW0201200RFNED,SchLib\Resistors.SchLib,,Standard,2,=Value,R0201_200R_1%_0.05W_200PPM,Resistors SMD,0.27mm,,~~,Resistor - 1%,VISHAY,,11/13/14 00:00:00,No,GENERIC,~~,,100,±1%,No,±200ppm/°C,~~,200,,0.05W,,,,,,,,,,,,,
72,,R0402_0R_JUMPER,R33 R42 R43 R44 R63 R65 R69 R77 R86 R94 R100 R129 R132 R135 R136 R159 R165 R168 R189 R190 R191 R192 R193 R194 R195 R196 R197 R198 R200 R215 R216 R224 R225 R227 R228 R229 R230 R231 R232 R233 R237 R238 R239 R240 R241 R242 R274 R275 R276 R277 R278 R279 R280,R0402_0R_JUMPER,RESC1005X40N,53,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_0R_JUMPER,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",1A (0.05R Max DC Resistance) Zero Ohm Jumper,~~,12/03/07 00:00:00,232270591001L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_0R_JUMPER,Resistors SMD,0.4mm,,~~,Resistor,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,0,~~,No,~~,~~,0 DNP,,~~,,,,,,,,,,,,,
73,,R0402_100R_1%_0.1W_100PPM,R103 R148 R149 R150 R151 R152 R153 R154 R155 R161,R0402_100R_1%_0.1W_100PPM,RESC1005X40N,10,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_PANASONIC_ERJ2RK.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_PANASONIC_ERJ2RK.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_100R_1%_0.1W_100PPM_50V,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/12/13 00:00:00,ERJ2RKF1000X,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_100R_1%_0.1W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,PANASONIC,,03/03/15 00:00:00,No,GENERIC,~~,,100,±1%,No,±100ppm/°C,50V,100,,0.1W,,,,,,,,,,,,,
74,,R0402_10K_1%_0.0625W_100PPM,R29 R30 R31 R32 R34 R35 R36 R37 R38 R68 R70 R71 R72 R73 R74 R76 R78 R79 R80 R81 R82 R84 R85 R87 R88 R89 R90 R105 R113 R115 R116 R117 R118 R121 R122 R123 R124 R125 R126 R127 R130 R131 R137 R138 R139 R140 R142 R143 R144 R145 R146 R147 R157 R158 R166 R167 R170 R171 R172 R173 R174 R175 R176 R177 R178 R185 R186 R187 R188 R201 R202 R203 R204 R205 R213 R214 R234 R235 R236 R246 R247 R249 R250 R252 R253 R254 R255 R256 R257 R258 R260 R262 R263 R270 R271 R272,R0402_10K_1%_0.0625W_100PPM,RESC1005X40N,96,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_10K_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270671003L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_10K_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,10k,±1%,No,±100ppm/°C,~~,10k,,0.0625W,,,,,,,,,,,,,
75,,R0402_12K_1%_0.0625W_100PPM,R120,R0402_12K_1%_0.0625W_100PPM,RESC1005X40N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_12K_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270671203L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_12K_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,12k,±1%,No,±100ppm/°C,~~,12k,,0.0625W,,,,,,,,,,,,,
76,,R0402_1K_1%_0.0625W_100PPM,R107 R160 R163 R179 R184 R245 R248 R251 R259 R261 R264 R265 R266 R267 R268,R0402_1K_1%_0.0625W_100PPM,RESC1005X40N,15,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_1K_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270671002L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_1K_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,1k,±1%,No,±100ppm/°C,~~,1k,,0.0625W,,,,,,,,,,,,,
77,,R0402_240R_1%_0.0625W_100PPM,R28 R58 R67 R92 R93 R156,R0402_240R_1%_0.0625W_100PPM,RESC1005X40N,6,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_240R_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270672401L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_240R_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,240,±1%,No,±100ppm/°C,~~,240,,0.0625W,,,,,,,,,,,,,
78,,R0402_270K_1%_0.0625W_100PPM,R109,R0402_270K_1%_0.0625W_100PPM,RESC1005X40N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_270K_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270672704L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_270K_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,270k,±1%,No,±100ppm/°C,~~,270k,,0.0625W,,,,,,,,,,,,,
79,,R0402_2K2_1%_0.0625W_100PPM,R39 R40 R41 R112 R114 R119 R133 R134 R199 R217 R218 R220 R221 R222 R223,R0402_2K2_1%_0.0625W_100PPM,RESC1005X40N,15,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_2K2_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270672202L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_2K2_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,2k2,±1%,No,±100ppm/°C,~~,2k2,,0.0625W,,,,,,,,,,,,,
80,,R0402_22K_1%_0.0625W_100PPM,R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 R57 R75 R83 R91,R0402_2K2_1%_0.0625W_100PPM,RESC1005X40N,16,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_22K_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270672203L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_22K_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,22k,±1%,No,±100ppm/°C,~~,22k,,0.0625W,,,,,,,,,,,,,
81,,R0402_300R_1%_0.0625W_100PPM,R162,R0402_300R_1%_0.0625W_100PPM,RESC1005X40N,1,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_300R_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270673001L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_300R_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,300,±1%,No,±100ppm/°C,~~,300,,0.0625W,,,,,,,,,,,,,
82,,R0402_47K_1%_0.0625W_100PPM,R104 R128 R180 R181 R273,R0402_47K_1%_0.0625W_100PPM,RESC1005X40N,5,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,CERN DEM JLC,,\\cern.ch\dfs\Applications\Altium\Datasheets\R0402_Phycomp_RC0402.pdf,Not Recommended,,Yes,,RESC1005X40N,PcbLib\Resistors SMD.PcbLib,,R0402_47K_1%_0.0625W_100PPM,Standard,Yes,~~,0402,No,"This work is licensed under the Creative Commons CC-BY-SA 4.0 License. To the extent that circuit schematics that use Licensed Material can be considered to be ‘Adapted Material’, then the copyright holder waives article 3.b of the license with respect to these schematics.",General Purpose Thick Film Chip Resistor,~~,12/03/07 00:00:00,232270675103L,SchLib\Resistors.SchLib,,Standard,2,=Value,R0402_47K_1%_0.0625W_100PPM,Resistors SMD,0.4mm,,~~,Resistor - 1%,YAGEO PHYCOMP,,10/17/12 00:00:00,No,GENERIC,~~,,47k,±1%,No,±100ppm/°C,~~,47k,,0.0625W,,,,,,,,,,,,,
